Year	Region	Farmer	FlowerStrip	Transect	PlantSp	Ploidy	Fieldsize	Flowers	zFlowers	plCROP1km	rounds	logrounds	Bumblebees	longt	shortt	Honeybees	Stripplants_m2
2010	M	15	N	interior	tripra	4n	7.3	113	81.325	0.714962727	1	0	10	0	9	1	NA
2010	M	15	N	edge	tripra	4n	7.3	63	31.325	0.714962727	1	0	2	0	2	1	NA
2010	M	16	Y	interior	tripra	2n	9.5	17.75	-9.8625	0.560790209	1	0	0	0	0	0	188.5
2010	M	16	Y	edge	tripra	2n	9.5	16.25	-11.3625	0.560790209	1	0	1	0	1	0	188.5
2010	M	16	Y	strip	phatan	2n	9.5	50.5	26.5277778	0.560790209	1	0	45	0	40	41	188.5
2010	M	18	Y	interior	tripra	4n	8.3	11.25	-20.425	0.741899408	1	0	0	0	0	0	317.33
2010	M	18	Y	edge	tripra	4n	8.3	28.75	-2.925	0.741899408	1	0	2	1	0	1	317.33
2010	M	18	Y	strip	phatan	4n	8.3	59.75	40.2307692	0.741899408	1	0	15	3	11	4	317.33
2010	M	22	Y	interior	tripra	4n	6	11.75	-19.925	0.261358025	1	0	1	0	1	0	83
2010	M	22	Y	edge	tripra	4n	6	1.25	-30.425	0.261358025	1	0	0	0	0	1	83
2010	M	22	Y	strip	phatan	4n	6	7	-12.5192308	0.261358025	1	0	4	0	3	13	83
2010	M	27	N	interior	tripra	4n	10.5	21.5	-10.175	0.530774175	1	0	5	0	5	0	NA
2010	M	27	N	edge	tripra	4n	10.5	6.5	-25.175	0.530774175	1	0	0	0	0	0	NA
